symbol,date,price
Meats,Jan 2000,39.81
Meats,Feb 2000,36.35
Meats,Mar 2000,43.22
Meats,Apr 2000,28.37
Meats,May 2000,25.45
Meats,Jun 2000,32.54
Meats,Jul 2000,28.4
Meats,Aug 2000,28.4
Meats,Sep 2000,24.53
Meats,Oct 2000,28.02
Meats,Nov 2000,23.34
Meats,Dec 2000,17.65
Meats,Jan 2001,24.84
Meats,Feb 2001,24
Meats,Mar 2001,22.25
Meats,Apr 2001,27.56
Meats,May 2001,28.14
Meats,Jun 2001,29.7
Meats,Jul 2001,26.93
Meats,Aug 2001,23.21
Meats,Sep 2001,20.82
Meats,Oct 2001,23.65
Meats,Nov 2001,26.12
Meats,Dec 2001,26.95
Meats,Jan 2002,25.92
Meats,Feb 2002,23.73
Meats,Mar 2002,24.53
Meats,Apr 2002,21.26
Meats,May 2002,20.71
Meats,Jun 2002,22.25
Meats,Jul 2002,19.52
Meats,Aug 2002,19.97
Meats,Sep 2002,17.79
Meats,Oct 2002,21.75
Meats,Nov 2002,23.46
Meats,Dec 2002,21.03
Meats,Jan 2003,19.31
Meats,Feb 2003,19.34
Meats,Mar 2003,19.76
Meats,Apr 2003,20.87
Meats,May 2003,20.09
Meats,Jun 2003,20.93
Meats,Jul 2003,21.56
Meats,Aug 2003,21.65
Meats,Sep 2003,22.69
Meats,Oct 2003,21.45
Meats,Nov 2003,21.1
Meats,Dec 2003,22.46
Meats,Jan 2004,22.69
Meats,Feb 2004,21.77
Meats,Mar 2004,20.46
Meats,Apr 2004,21.45
Meats,May 2004,21.53
Meats,Jun 2004,23.44
Meats,Jul 2004,23.38
Meats,Aug 2004,22.47
Meats,Sep 2004,22.76
Meats,Oct 2004,23.02
Meats,Nov 2004,24.6
Meats,Dec 2004,24.52
Meats,Jan 2005,24.11
Meats,Feb 2005,23.15
Meats,Mar 2005,22.24
Meats,Apr 2005,23.28
Meats,May 2005,23.82
Meats,Jun 2005,22.93
Meats,Jul 2005,23.64
Meats,Aug 2005,25.35
Meats,Sep 2005,23.83
Meats,Oct 2005,23.8
Meats,Nov 2005,25.71
Meats,Dec 2005,24.29
Meats,Jan 2006,26.14
Meats,Feb 2006,25.04
Meats,Mar 2006,25.36
Meats,Apr 2006,22.5
Meats,May 2006,21.19
Meats,Jun 2006,21.8
Meats,Jul 2006,22.51
Meats,Aug 2006,24.13
Meats,Sep 2006,25.68
Meats,Oct 2006,26.96
Meats,Nov 2006,27.66
Meats,Dec 2006,28.13
Meats,Jan 2007,29.07
Meats,Feb 2007,26.63
Meats,Mar 2007,26.35
Meats,Apr 2007,28.3
Meats,May 2007,29.11
Meats,Jun 2007,27.95
Meats,Jul 2007,27.5
Meats,Aug 2007,27.34
Meats,Sep 2007,28.04
Meats,Oct 2007,35.03
Meats,Nov 2007,32.09
Meats,Dec 2007,34
Meats,Jan 2008,31.13
Meats,Feb 2008,26.07
Meats,Mar 2008,27.21
Meats,Apr 2008,27.34
Meats,May 2008,27.25
Meats,Jun 2008,26.47
Meats,Jul 2008,24.75
Meats,Aug 2008,26.36
Meats,Sep 2008,25.78
Meats,Oct 2008,21.57
Meats,Nov 2008,19.66
Meats,Dec 2008,18.91
Meats,Jan 2009,16.63
Meats,Feb 2009,15.81
Meats,Mar 2009,17.99
Meats,Apr 2009,19.84
Meats,May 2009,20.59
Meats,Jun 2009,23.42
Meats,Jul 2009,23.18
Meats,Aug 2009,24.43
Meats,Sep 2009,25.49
Meats,Oct 2009,27.48
Meats,Nov 2009,29.27
Meats,Dec 2009,30.34
Meats,Jan 2010,28.05
Meats,Feb 2010,28.67
Meats,Mar 2010,28.8
Produce,Jan 2000,64.56
Produce,Feb 2000,68.87
Produce,Mar 2000,67
Produce,Apr 2000,55.19
Produce,May 2000,48.31
Produce,Jun 2000,36.31
Produce,Jul 2000,30.12
Produce,Aug 2000,41.5
Produce,Sep 2000,38.44
Produce,Oct 2000,36.62
Produce,Nov 2000,24.69
Produce,Dec 2000,15.56
Produce,Jan 2001,17.31
Produce,Feb 2001,10.19
Produce,Mar 2001,10.23
Produce,Apr 2001,15.78
Produce,May 2001,16.69
Produce,Jun 2001,14.15
Produce,Jul 2001,12.49
Produce,Aug 2001,8.94
Produce,Sep 2001,5.97
Produce,Oct 2001,6.98
Produce,Nov 2001,11.32
Produce,Dec 2001,10.82
Produce,Jan 2002,14.19
Produce,Feb 2002,14.1
Produce,Mar 2002,14.3
Produce,Apr 2002,16.69
Produce,May 2002,18.23
Produce,Jun 2002,16.25
Produce,Jul 2002,14.45
Produce,Aug 2002,14.94
Produce,Sep 2002,15.93
Produce,Oct 2002,19.36
Produce,Nov 2002,23.35
Produce,Dec 2002,18.89
Produce,Jan 2003,21.85
Produce,Feb 2003,22.01
Produce,Mar 2003,26.03
Produce,Apr 2003,28.69
Produce,May 2003,35.89
Produce,Jun 2003,36.32
Produce,Jul 2003,41.64
Produce,Aug 2003,46.32
Produce,Sep 2003,48.43
Produce,Oct 2003,54.43
Produce,Nov 2003,53.97
Produce,Dec 2003,52.62
Produce,Jan 2004,50.4
Produce,Feb 2004,43.01
Produce,Mar 2004,43.28
Produce,Apr 2004,43.6
Produce,May 2004,48.5
Produce,Jun 2004,54.4
Produce,Jul 2004,38.92
Produce,Aug 2004,38.14
Produce,Sep 2004,40.86
Produce,Oct 2004,34.13
Produce,Nov 2004,39.68
Produce,Dec 2004,44.29
Produce,Jan 2005,43.22
Produce,Feb 2005,35.18
Produce,Mar 2005,34.27
Produce,Apr 2005,32.36
Produce,May 2005,35.51
Produce,Jun 2005,33.09
Produce,Jul 2005,45.15
Produce,Aug 2005,42.7
Produce,Sep 2005,45.3
Produce,Oct 2005,39.86
Produce,Nov 2005,48.46
Produce,Dec 2005,47.15
Produce,Jan 2006,44.82
Produce,Feb 2006,37.44
Produce,Mar 2006,36.53
Produce,Apr 2006,35.21
Produce,May 2006,34.61
Produce,Jun 2006,38.68
Produce,Jul 2006,26.89
Produce,Aug 2006,30.83
Produce,Sep 2006,32.12
Produce,Oct 2006,38.09
Produce,Nov 2006,40.34
Produce,Dec 2006,39.46
Produce,Jan 2007,37.67
Produce,Feb 2007,39.14
Produce,Mar 2007,39.79
Produce,Apr 2007,61.33
Produce,May 2007,69.14
Produce,Jun 2007,68.41
Produce,Jul 2007,78.54
Produce,Aug 2007,79.91
Produce,Sep 2007,93.15
Produce,Oct 2007,89.15
Produce,Nov 2007,90.56
Produce,Dec 2007,92.64
Produce,Jan 2008,77.7
Produce,Feb 2008,64.47
Produce,Mar 2008,71.3
Produce,Apr 2008,78.63
Produce,May 2008,81.62
Produce,Jun 2008,73.33
Produce,Jul 2008,76.34
Produce,Aug 2008,80.81
Produce,Sep 2008,72.76
Produce,Oct 2008,57.24
Produce,Nov 2008,42.7
Produce,Dec 2008,51.28
Produce,Jan 2009,58.82
Produce,Feb 2009,64.79
Produce,Mar 2009,73.44
Produce,Apr 2009,80.52
Produce,May 2009,77.99
Produce,Jun 2009,83.66
Produce,Jul 2009,85.76
Produce,Aug 2009,81.19
Produce,Sep 2009,93.36
Produce,Oct 2009,118.81
Produce,Nov 2009,135.91
Produce,Dec 2009,134.52
Produce,Jan 2010,125.41
Produce,Feb 2010,118.4
Produce,Mar 2010,128.82
Bakery,Jan 2000,100.52
Bakery,Feb 2000,92.11
Bakery,Mar 2000,106.11
Bakery,Apr 2000,99.95
Bakery,May 2000,96.31
Bakery,Jun 2000,98.33
Bakery,Jul 2000,100.74
Bakery,Aug 2000,118.62
Bakery,Sep 2000,101.19
Bakery,Oct 2000,88.5
Bakery,Nov 2000,84.12
Bakery,Dec 2000,76.47
Bakery,Jan 2001,100.76
Bakery,Feb 2001,89.98
Bakery,Mar 2001,86.63
Bakery,Apr 2001,103.7
Bakery,May 2001,100.82
Bakery,Jun 2001,102.35
Bakery,Jul 2001,94.87
Bakery,Aug 2001,90.25
Bakery,Sep 2001,82.82
Bakery,Oct 2001,97.58
Bakery,Nov 2001,104.5
Bakery,Dec 2001,109.36
Bakery,Jan 2002,97.54
Bakery,Feb 2002,88.82
Bakery,Mar 2002,94.15
Bakery,Apr 2002,75.82
Bakery,May 2002,72.97
Bakery,Jun 2002,65.31
Bakery,Jul 2002,63.86
Bakery,Aug 2002,68.52
Bakery,Sep 2002,53.01
Bakery,Oct 2002,71.76
Bakery,Nov 2002,79.16
Bakery,Dec 2002,70.58
Bakery,Jan 2003,71.22
Bakery,Feb 2003,71.13
Bakery,Mar 2003,71.57
Bakery,Apr 2003,77.47
Bakery,May 2003,80.48
Bakery,Jun 2003,75.42
Bakery,Jul 2003,74.28
Bakery,Aug 2003,75.12
Bakery,Sep 2003,80.91
Bakery,Oct 2003,81.96
Bakery,Nov 2003,83.08
Bakery,Dec 2003,85.05
Bakery,Jan 2004,91.06
Bakery,Feb 2004,88.7
Bakery,Mar 2004,84.41
Bakery,Apr 2004,81.04
Bakery,May 2004,81.59
Bakery,Jun 2004,81.19
Bakery,Jul 2004,80.19
Bakery,Aug 2004,78.17
Bakery,Sep 2004,79.13
Bakery,Oct 2004,82.84
Bakery,Nov 2004,87.15
Bakery,Dec 2004,91.16
Bakery,Jan 2005,86.39
Bakery,Feb 2005,85.78
Bakery,Mar 2005,84.66
Bakery,Apr 2005,70.77
Bakery,May 2005,70.18
Bakery,Jun 2005,68.93
Bakery,Jul 2005,77.53
Bakery,Aug 2005,75.07
Bakery,Sep 2005,74.7
Bakery,Oct 2005,76.25
Bakery,Nov 2005,82.98
Bakery,Dec 2005,76.73
Bakery,Jan 2006,75.89
Bakery,Feb 2006,75.09
Bakery,Mar 2006,77.17
Bakery,Apr 2006,77.05
Bakery,May 2006,75.04
Bakery,Jun 2006,72.15
Bakery,Jul 2006,72.7
Bakery,Aug 2006,76.35
Bakery,Sep 2006,77.26
